KO	Chi_square	P_value	FDR_q_value	Significant	A	B	C
K06720	50.78550285177965	9.377091966327732e-12	3.1882112685514287e-10	True	0.0	92.59	20.0
K06718	34.696186672930864	2.9229325419073446e-08	4.968985321242485e-07	True	0.0	74.07	20.0
K05847	24.906522672421797	3.904966567336167e-06	3.3192215822357425e-05	True	96.43	96.3	40.0
K05845	24.906522672421797	3.904966567336167e-06	3.3192215822357425e-05	True	96.43	96.3	40.0
K05846	18.92826191779394	7.758542590649814e-05	0.0004269624100572	True	96.43	96.3	50.0
K05375	18.960989430096983	7.632616810924225e-05	0.0004269624100572	True	57.14	11.11	0.0
K03317	18.67852991364896	8.790402560001593e-05	0.0004269624100572	True	60.71	7.41	20.0
K00130	14.33427689594356	0.0007715273410474	0.0032789911994518	True	96.43	70.37	40.0
K02000	12.75810324129652	0.0016967313387916	0.0052444423199014	True	64.29	100.0	60.0
K02001	12.75810324129652	0.0016967313387916	0.0052444423199014	True	64.29	100.0	60.0
K02002	12.75810324129652	0.0016967313387916	0.0052444423199014	True	64.29	100.0	60.0
K01548	12.490217151675484	0.0019399199379862	0.0054964398242943	True	39.29	3.7	50.0
K01546	11.694218361947954	0.0028882364703918	0.0070142885709516	True	35.71	3.7	50.0
K01547	11.694218361947954	0.0028882364703918	0.0070142885709516	True	35.71	3.7	50.0
K03313	11.349206349206348	0.0034320306230257	0.0077792694121917	True	0.0	0.0	20.0
K03315	8.534543447008433	0.0140199814076904	0.0297924604913421	True	92.86	74.07	50.0
